time,open,high,low,close,volume
1774166400000,68919.37,68990.67,68110.55,68217.95,2582.06971
1774180800000,68217.94,69005.71,68199.04,68847.96,1809.03421
1774195200000,68847.97,68885.53,68145.01,68199.93,1323.42339
1774209600000,68199.93,68498.4,67360.66,67859,3220.84325
1774224000000,67859,68585.12,67445.18,68074.6,2495.61558
1774238400000,68074.6,68915.4,67502.48,68333.16,4814.40128
1774252800000,68333.16,71499,67916.14,70122.15,9165.95784
1774267200000,70122.15,71817.09,69671.95,70131.48,7343.07463
1774281600000,70131.48,71246.01,70131.47,70679.05,3251.32187
1774296000000,70679.04,70998,70404.39,70906.45,1264.71999
1774310400000,70906.45,71099.96,70278.46,70542.9,2279.09671
1774324800000,70542.9,71400,70119.06,71291.7,3689.3445
1774339200000,71291.7,71368.61,70850.11,71157.77,2477.92852
1774353600000,71157.77,71177.66,69507.34,69873.04,5583.13531
1774368000000,69873.04,70001.92,68923.07,69377.33,3539.49609
1774382400000,69377.33,70832.54,69296.15,70556.74,3133.42131
1774396800000,70556.74,71100.28,70408,70716.7,2504.53992
1774411200000,70716.7,71345,70703.83,70926.88,2879.13545
1774425600000,70926.88,72026.09,70800,71678.97,3287.51237
1774440000000,71678.97,71963.71,70530.47,70832.99,4210.48461
1774454400000,70832.99,71752.88,70681.07,70883.31,2995.16787
1774468800000,70883.32,71594.11,70646.34,71336.53,1842.66044
1774483200000,71336.53,71436.82,70672.37,70921.47,2157.03878
1774497600000,70921.47,70921.47,69805,70087.44,3434.08444
1774512000000,70087.44,70144.44,69192.96,69276.01,3321.72857
1774526400000,69276.01,69877.45,68632.4,69082.64,4699.85538
1774540800000,69082.64,69162,68153,68534.36,4026.59411
1774555200000,68534.37,69478.42,68436.74,68820.31,3181.1564
1774569600000,68820.31,69179.05,68531.37,68767.51,2714.9612
1774584000000,68767.5,68955.53,68304.14,68540.48,3934.07819
1774598400000,68540.49,68635.07,66231.96,66702.78,7325.96218
1774612800000,66702.78,66773.25,65730.17,66112.82,8273.04177
1774627200000,66112.82,66290,65548.25,66040.66,3963.05735
1774641600000,66040.65,66420.75,65817.44,66407.28,2392.59488
1774656000000,66407.28,66520.46,65932.09,66240,2309.42704
1774670400000,66240,66573.61,66110,66561.48,2351.82142
1774684800000,66561.49,66570.09,66124.4,66319.47,1871.98665
1774699200000,66319.46,67288.94,66240.87,67014.91,2726.87142
1774713600000,67014.92,67096.77,66704,66916.52,1090.61096
1774728000000,66916.52,67010,66283.38,66377.03,1111.68098
1774742400000,66377.04,67130.5,66281.4,66912,1535.14396
1774756800000,66912,66936.6,66556.78,66671,1351.87148
1774771200000,66671,66988.01,66418,66816.28,1084.63055
1774785600000,66816.29,66875.24,66334.37,66523,1436.58796
1774800000000,66523.01,66665.05,66158.26,66348.62,994.8232
1774814400000,66348.61,66793.83,65000,66010.93,3649.79869
1774828800000,66010.93,67450,65800.59,67173.8,3701.61439
1774843200000,67173.8,67800,67167.92,67624.39,2742.98319
1774857600000,67624.39,68042.3,67360.41,67680.45,3383.09323
1774872000000,67680.44,68169.65,67088.73,67629.4,4177.92296
1774886400000,67629.4,67641.65,66233.13,66550.05,2673.9969
1774900800000,66550.06,66994.17,66419.79,66797.37,1673.77908
1774915200000,66797.38,68408.37,66544.51,67704.74,2940.06225
