time,open,high,low,close,volume
1780828500000,0.08461,0.08467,0.08435,0.08445,2.654446e+06
1780829100000,0.08445,0.08455,0.08414,0.08438,4.673098e+06
1780830000000,0.08438,0.08451,0.08416,0.08432,8.700325e+06
1780830900000,0.08431,0.08462,0.08426,0.08459,3.18166e+06
1780831800000,0.08459,0.08474,0.08444,0.0847,4.947363e+06
1780832700000,0.08471,0.08482,0.08446,0.08459,3.940557e+06
1780833600000,0.0846,0.08463,0.08342,0.08354,2.394185e+07
1780834500000,0.08354,0.08386,0.08331,0.08362,8.417654e+06
1780835400000,0.08363,0.08379,0.0832,0.08341,1.6637082e+07
1780836300000,0.08342,0.08391,0.08342,0.08378,3.998209e+06
1780837200000,0.08378,0.08398,0.08363,0.08385,4.393688e+06
1780838100000,0.08386,0.08393,0.08368,0.08383,5.45404e+06
1780839000000,0.08383,0.08394,0.08365,0.08384,2.85919e+06
1780839900000,0.08385,0.08402,0.08378,0.08385,1.552257e+06
1780840800000,0.08385,0.08409,0.08383,0.08399,5.104529e+06
1780841700000,0.08399,0.08478,0.08393,0.08464,1.0164452e+07
1780842600000,0.08465,0.085,0.08432,0.08434,7.552201e+06
1780843500000,0.08435,0.08461,0.08418,0.08457,4.206703e+06
1780844400000,0.08456,0.0846,0.08427,0.08457,5.39405e+06
1780845300000,0.08457,0.08475,0.0843,0.08475,3.37505e+06
1780846200000,0.08474,0.08496,0.08468,0.08481,3.352851e+06
1780847100000,0.08481,0.08481,0.08444,0.08465,3.771675e+06
1780848000000,0.08465,0.08483,0.08451,0.08477,4.022994e+06
1780848900000,0.08476,0.08487,0.08461,0.08472,6.118066e+06
1780849800000,0.08472,0.08495,0.08464,0.08483,3.934148e+06
1780850700000,0.08483,0.08499,0.08463,0.08482,3.526419e+06
1780851600000,0.08481,0.08532,0.08476,0.08523,1.3756605e+07
1780852500000,0.08524,0.08529,0.085,0.08503,4.289143e+06
1780853400000,0.08503,0.08518,0.08501,0.08507,5.671561e+06
1780854300000,0.08506,0.08506,0.08463,0.08483,3.273606e+06
1780855200000,0.08484,0.08497,0.08476,0.08495,1.577692e+06
1780856100000,0.08494,0.08497,0.08471,0.08481,1.253265e+06
1780857000000,0.08482,0.08497,0.08465,0.0847,1.079612e+06
1780857900000,0.08469,0.08477,0.08433,0.08437,4.877675e+06
1780858800000,0.08437,0.08439,0.08353,0.08365,8.786319e+06
1780859700000,0.08365,0.08365,0.08319,0.08342,1.0376318e+07
1780860600000,0.08343,0.08344,0.08309,0.08315,3.369206e+06
1780861500000,0.08316,0.08348,0.083,0.08336,8.988915e+06
1780862400000,0.08335,0.08388,0.08313,0.0837,5.60394e+06
1780863300000,0.08369,0.08424,0.0836,0.08402,8.270073e+06
1780864200000,0.08402,0.08411,0.08386,0.08401,5.093711e+06
1780865100000,0.08401,0.08432,0.08393,0.08417,1.862033e+06
1780866000000,0.08417,0.08424,0.08381,0.08412,2.167838e+06
1780866900000,0.08412,0.08418,0.08383,0.0839,1.462284e+06
