time,open,high,low,close,volume
1780828500000,0.08461,0.08467,0.08414,0.08438,7.327544e+06
1780830000000,0.08438,0.08482,0.08416,0.08459,2.0769905e+07
1780833600000,0.0846,0.08463,0.0832,0.08378,5.2994795e+07
1780837200000,0.08378,0.08402,0.08363,0.08385,1.4259175e+07
1780840800000,0.08385,0.085,0.08383,0.08457,2.7027885e+07
1780844400000,0.08456,0.08496,0.08427,0.08465,1.5893626e+07
1780848000000,0.08465,0.08499,0.08451,0.08482,1.7601627e+07
1780851600000,0.08481,0.08532,0.08463,0.08483,2.6990915e+07
1780855200000,0.08484,0.08497,0.08433,0.08437,8.788244e+06
1780858800000,0.08437,0.08439,0.083,0.08336,3.1520758e+07
1780862400000,0.08335,0.08432,0.08313,0.08417,2.0829757e+07
1780866000000,0.08417,0.08424,0.08357,0.08402,9.872162e+06
1780869600000,0.08403,0.08756,0.08385,0.08553,1.57072434e+08
1780873200000,0.08552,0.08646,0.08546,0.08628,3.1885903e+07
1780876800000,0.08627,0.08682,0.0858,0.0864,3.618631e+07
1780880400000,0.0864,0.08653,0.08483,0.08571,4.0240567e+07
1780884000000,0.08571,0.08595,0.08543,0.08591,3.4842747e+07
1780887600000,0.0859,0.08632,0.08556,0.08592,2.2258893e+07
1780891200000,0.08593,0.086,0.08483,0.08494,2.4233398e+07
1780894800000,0.08494,0.08512,0.08436,0.0848,2.7984178e+07
1780898400000,0.0848,0.08541,0.08479,0.0853,1.8835127e+07
1780902000000,0.0853,0.08579,0.08497,0.08566,1.9307231e+07
1780905600000,0.08566,0.08566,0.0849,0.08515,1.54588e+07
1780909200000,0.08515,0.08594,0.0851,0.08592,1.8878403e+07
1780912800000,0.08591,0.08601,0.08528,0.08566,2.1637533e+07
1780916400000,0.08566,0.08684,0.08547,0.0864,4.1409427e+07
1780920000000,0.0864,0.087,0.0858,0.08684,3.6555904e+07
1780923600000,0.08684,0.08693,0.08606,0.08636,3.624262e+07
1780927200000,0.08635,0.08684,0.08614,0.0867,1.7850908e+07
1780930800000,0.08671,0.08747,0.0867,0.08698,3.2080273e+07
1780934400000,0.08699,0.08754,0.08639,0.08647,2.9903188e+07
1780938000000,0.08647,0.08684,0.08615,0.08684,1.6079508e+07
1780941600000,0.08684,0.08728,0.08661,0.08685,1.4184736e+07
1780945200000,0.08685,0.0871,0.08668,0.0868,1.4243566e+07
1780948800000,0.08681,0.08685,0.08632,0.08676,7.379615e+06
1780952400000,0.08677,0.08749,0.08676,0.08706,1.733327e+07
1780956000000,0.08706,0.08713,0.08663,0.08702,1.6279112e+07
1780959600000,0.08703,0.08723,0.08613,0.08634,1.9895143e+07
1780963200000,0.08635,0.08649,0.08459,0.08482,8.2190489e+07
1780966800000,0.08482,0.08537,0.08475,0.08513,2.4777582e+07
1780970400000,0.08512,0.08532,0.08456,0.08532,2.9127481e+07
1780974000000,0.08533,0.0855,0.08493,0.08531,1.3603796e+07
1780977600000,0.0853,0.08646,0.08506,0.08616,4.8957829e+07
1780981200000,0.08615,0.08675,0.08595,0.08647,2.308271e+07
1780984800000,0.08647,0.08674,0.08628,0.08633,1.7104563e+07
1780988400000,0.08634,0.08666,0.08599,0.08641,2.2039047e+07
1780992000000,0.08641,0.08645,0.08576,0.08586,2.0077566e+07
1780995600000,0.08586,0.08606,0.08526,0.08542,1.7779738e+07
1780999200000,0.08543,0.08561,0.08521,0.08551,2.0175574e+07
1781002800000,0.0855,0.0856,0.08517,0.08553,1.6099865e+07
1781006400000,0.08552,0.08595,0.08549,0.08586,1.5530442e+07
1781010000000,0.08586,0.08612,0.08523,0.08571,2.8167457e+07
1781013600000,0.0857,0.08591,0.08433,0.08502,6.7278231e+07
1781017200000,0.08503,0.08532,0.08407,0.0841,6.3078311e+07
1781020800000,0.0841,0.08447,0.08316,0.08435,6.2167225e+07
1781024400000,0.08435,0.08548,0.08433,0.08478,3.8341064e+07
1781028000000,0.08479,0.08527,0.0846,0.0849,4.0239396e+07
1781031600000,0.08489,0.08537,0.08472,0.08521,2.572254e+07
1781035200000,0.08521,0.08562,0.08513,0.08556,2.6773278e+07
1781038800000,0.08556,0.08571,0.08465,0.08484,1.7346437e+07
1781042400000,0.08484,0.08514,0.08452,0.08454,1.141627e+07
