time,open,high,low,close,volume
1780828500000,1632.35,1634.07,1628.63,1630.01,3068.2557
1780829100000,1630.01,1630.01,1624.78,1625.7,7282.3283
1780830000000,1625.7,1628.08,1622.22,1626.64,6101.4886
1780830900000,1626.64,1630.4,1625.59,1628.51,2343.6646
1780831800000,1628.51,1633.33,1626.01,1632.9,2245.2494
1780832700000,1632.9,1633.99,1629.35,1630.12,2186.547
1780833600000,1630.12,1631.24,1609.77,1612.92,7742.1432
1780834500000,1612.91,1618.42,1609.1,1610.93,6302.7062
1780835400000,1610.92,1618,1607,1616.02,8142.0813
1780836300000,1616.02,1622.37,1615.73,1620.17,3426.4352
1780837200000,1620.17,1621.34,1613.36,1620.59,3417.5382
1780838100000,1620.58,1623,1615.58,1621.21,2582.34
1780839000000,1621.21,1622.39,1615.57,1617.56,2236.7006
1780839900000,1617.56,1619.79,1615,1617.46,1974.9489
1780840800000,1617.46,1621.12,1616.91,1618.54,3673.51
1780841700000,1618.55,1633.69,1617.55,1630.47,8346.811
1780842600000,1630.46,1640,1625,1626.34,8158.3761
1780843500000,1626.35,1628.61,1621.76,1628.13,3095.0709
1780844400000,1628.12,1628.12,1620.85,1627.15,2933.8353
1780845300000,1627.15,1632.33,1623.48,1632.02,3680.5385
1780846200000,1632.02,1636.12,1629.98,1632.78,4507.3426
1780847100000,1632.78,1633.05,1627.04,1630.07,2815.4117
1780848000000,1630.07,1631.13,1623.37,1630.25,4369.7782
1780848900000,1630.26,1633,1627.29,1628.26,4258.0915
1780849800000,1628.25,1631.99,1627.51,1629.62,2347.8627
1780850700000,1629.62,1633.52,1625.82,1628.52,2476.1394
1780851600000,1628.52,1636.7,1627.65,1635.25,3503.899
1780852500000,1635.26,1637.56,1632.87,1635.33,6489.6884
1780853400000,1635.33,1638,1633.05,1633.63,4228.7715
1780854300000,1633.62,1633.64,1629.01,1631.35,2574.9702
1780855200000,1631.34,1635.54,1630.35,1634.83,1388.6677
1780856100000,1634.84,1634.98,1629,1633.11,1400.9483
1780857000000,1633.11,1636.74,1633.03,1634.26,1754.1073
1780857900000,1634.25,1635.82,1629.46,1630.36,1561.0433
1780858800000,1630.37,1630.56,1613.78,1616.73,6731.0026
1780859700000,1616.73,1616.73,1604,1611.07,9942.1812
1780860600000,1611.07,1611.93,1607.13,1607.88,3276.8168
1780861500000,1607.88,1617.65,1605.36,1613.11,3900.4783
1780862400000,1613.1,1623.01,1609.43,1620.96,3154.2624
1780863300000,1620.96,1631.65,1618.32,1624.93,4139.0006
1780864200000,1624.94,1627.1,1622.6,1624.71,1765.4967
1780865100000,1624.7,1630.77,1624.2,1628.14,1881.4072
1780866000000,1628.14,1632.34,1623.72,1630.85,1887.7289
1780866900000,1630.85,1631.75,1627.2,1628.36,2113.7768
1780867800000,1628.36,1630.5,1625.21,1625.72,1580.0113
1780868700000,1625.72,1634.57,1625.72,1634.53,1711.7315
1780869600000,1634.53,1707.42,1629.05,1700.95,24840.645
1780870500000,1701.46,1721.93,1669.68,1676.15,21717.4116
1780871400000,1676.15,1689.55,1669.75,1681.98,6960.273
1780872300000,1682,1687,1671.49,1672.56,6815.6642
1780873200000,1672.55,1681.27,1670.76,1680.14,6352.8098
1780874100000,1680.15,1685.48,1672.36,1685.2,5024.3933
1780875000000,1685.19,1685.44,1679.03,1684.7,2370.6083
1780875900000,1684.69,1691.93,1680.32,1690.51,7664.5184
1780876800000,1690.5,1691.84,1683.24,1686.75,4234.5493
1780877700000,1686.75,1698.48,1683.94,1698.47,6467.2929
1780878600000,1698.48,1711.58,1694.76,1702.68,10626.5635
1780879500000,1702.68,1707.73,1693.75,1697.59,7126.4828
1780880400000,1697.6,1700.2,1683.34,1683.34,6676.1634
1780881300000,1683.35,1684.05,1673.04,1674.68,7284.719
1780882200000,1674.69,1684,1670.94,1683.22,5104.6556
1780883100000,1683.23,1688.4,1680,1687.34,4325.6078
1780884000000,1687.34,1689.5,1680.62,1685.61,2937.4641
1780884900000,1685.6,1688.06,1679.84,1685.22,3097.7718
1780885800000,1685.22,1686.92,1678.07,1684.01,3796.8502
1780886700000,1684.01,1685.07,1679.92,1683.9,2484.8393
1780887600000,1683.91,1692.62,1678.85,1688.06,3799.0153
1780888500000,1688.05,1688.62,1680.56,1680.94,2561.3322
1780889400000,1680.93,1683.41,1677.26,1678.66,2507.3699
1780890300000,1678.67,1680.38,1677,1680.01,1439.3614
1780891200000,1680.02,1681,1665.04,1669.21,5630.0974
1780892100000,1669.21,1670,1662.71,1666.86,3367.2044
1780893000000,1666.86,1668.22,1655.95,1657.26,5901.6114
1780893900000,1657.25,1664.54,1657.05,1657.05,4102.9477
1780894800000,1657.05,1659.87,1648.31,1649.09,6257.3489
