time,open,high,low,close,volume
1780828500000,1632.35,1634.07,1622.22,1630.12,23227.5336
1780833600000,1630.12,1640,1607,1630.07,73035.7897
1780848000000,1630.07,1638,1604,1613.11,60204.4464
1780862400000,1613.1,1721.93,1609.43,1690.51,99979.739
1780876800000,1690.5,1711.58,1670.94,1680.01,74470.0385
1780891200000,1680.02,1683.49,1645,1673.47,73682.0193
1780905600000,1673.46,1696.77,1657.21,1683.76,73745.4019
1780920000000,1683.77,1706.22,1667.46,1691.59,129205.2984
1780934400000,1691.59,1703.88,1675.8,1684.78,72641.0716
1780948800000,1684.78,1714.5,1679.25,1690.49,56283.4824
1780963200000,1690.48,1696.88,1654.63,1669.44,65616.5084
1780977600000,1669.44,1696.41,1664.33,1679.86,55695.031
1780992000000,1679.86,1680.64,1665,1671.96,39039.5622
1781006400000,1671.96,1683.32,1633.84,1636.4,109750.9015
1781020800000,1636.4,1658.64,1614.02,1657.33,81822.2362
1781035200000,1657.33,1663.77,1630.36,1639.52,32222.9956
1781049600000,1639.52,1646.91,1621.77,1630.82,27935.8341
1781064000000,1630.82,1643.58,1616.33,1640.09,28762.4847
1781078400000,1640.1,1640.89,1606.01,1620.05,50677.5242
1781092800000,1620.06,1667.96,1615.91,1657.97,78993.1365
1781107200000,1657.98,1658.73,1622.51,1630.15,55253.005
1781121600000,1630.15,1636.21,1603.44,1621.59,49169.2974
1781136000000,1621.6,1661.3,1621.6,1653.95,36288.0336
1781150400000,1653.94,1663.14,1646.2,1654.41,36562.9666
1781164800000,1654.4,1673.5,1654.28,1666.84,30402.7025
1781179200000,1666.84,1666.88,1636.19,1645.55,55809.1021
1781193600000,1645.56,1693.59,1632.71,1681.26,85215.6465
1781208000000,1681.26,1683.29,1667.18,1673.46,34229.2691
1781222400000,1673.46,1678.42,1660.93,1673.25,20659.4497
1781236800000,1673.25,1682,1652.09,1662.12,30223.5752
1781251200000,1662.12,1685.65,1662.12,1673.89,33152.9108
1781265600000,1673.88,1691.07,1653.74,1660.08,63394.6373
1781280000000,1660.08,1678.1,1657.38,1665.92,42191.8674
1781294400000,1665.92,1668.01,1659.02,1666.41,12265.5698
1781308800000,1666.42,1675.9,1663.36,1665.25,16399.5929
1781323200000,1665.25,1677.74,1662.2,1676.38,16043.7279
1781337600000,1676.38,1679.92,1672.8,1678.34,18492.0161
1781352000000,1678.33,1686.56,1676.69,1682.15,19930.4374
1781366400000,1682.14,1682.63,1671.44,1678.29,21369.3543
1781380800000,1678.3,1697.28,1674.91,1681.18,14516.4791
1781395200000,1681.19,1690.36,1678.83,1681.73,10407.9003
1781409600000,1681.74,1682.66,1673.72,1675.91,15591.2044
1781424000000,1675.91,1679,1669.15,1673.73,14816.273
1781438400000,1673.73,1674.58,1654.9,1662.95,23932.5644
1781452800000,1662.95,1668.57,1658.95,1665.43,17942.9787
1781467200000,1665.44,1732.28,1662.67,1725.62,95319.0333
1781481600000,1725.63,1733.04,1709.66,1720.78,46791.0843
1781496000000,1720.78,1723.8,1715.95,1716.59,33173.3834
1781510400000,1716.6,1769,1712.17,1764.67,86337.2957
1781524800000,1764.67,1849.54,1760.28,1845.53,170759.7618
1781539200000,1845.53,1847.13,1811.66,1821.89,78464.5018
1781553600000,1821.88,1826.62,1782.82,1796.13,48609.2283
1781568000000,1796.14,1802.09,1764.84,1779.16,50532.628
1781582400000,1779.16,1783.32,1758,1774.24,50401.9351
1781596800000,1774.25,1807.97,1773.25,1799.59,57224.9557
1781611200000,1799.6,1839.77,1763.36,1782.44,123987.1567
1781625600000,1782.43,1808.44,1773.03,1795.41,48137.7978
1781640000000,1795.41,1800.48,1789.53,1792.99,23293.0757
1781654400000,1793,1810.21,1778.99,1793.58,31174.503
1781668800000,1793.58,1801.79,1778.71,1785.08,23610.2996
1781683200000,1785.09,1786.15,1759.35,1763.92,35117.6055
1781697600000,1763.93,1776.94,1741.05,1773.41,82129.4721
1781712000000,1773.42,1796.08,1729.26,1734.72,126372.9648
1781726400000,1734.73,1751.66,1725.34,1750.6,36093.2125
1781740800000,1750.61,1762.99,1741.46,1744.17,30981.8033
1781755200000,1744.17,1753.29,1722.24,1749.79,44003.2068
1781769600000,1749.8,1753.61,1739.11,1743.31,47075.973
1781784000000,1743.31,1753.06,1680,1682.23,94529.5977
1781798400000,1682.23,1707.48,1671.79,1705.39,66020.9508
1781812800000,1705.4,1717.23,1700.19,1711.11,29869.434
1781827200000,1711.11,1719.51,1682.35,1697.69,37691.0234
1781841600000,1697.7,1703.4,1686,1695.82,32582.5204
1781856000000,1695.82,1699.82,1687.05,1691.74,19744.2088
1781870400000,1691.74,1712.06,1679.11,1707.86,38540.4796
1781884800000,1707.87,1711.76,1693.7,1701.2,22445.5251
1781899200000,1701.21,1715,1698.89,1711.19,14074.4411
1781913600000,1711.18,1718,1704.06,1708.17,14486.4039
1781928000000,1708.18,1733.89,1706.51,1725.82,28639.3455
1781942400000,1725.81,1731.76,1721.25,1727.18,13310.0526
1781956800000,1727.18,1749.55,1708.11,1740.63,45563.7598
1781971200000,1740.63,1740.91,1721.03,1729.27,23469.7503
1781985600000,1729.27,1746.17,1726.53,1741.08,34322.509
1782000000000,1741.08,1741.45,1733.51,1737.87,11485.9288
1782014400000,1737.88,1741.41,1729.8,1732.36,19148.6555
1782028800000,1732.36,1737.02,1718.56,1725.36,19610.1055
1782043200000,1725.37,1732.57,1717.14,1730.72,18999.8619
1782057600000,1730.71,1739.32,1721.67,1734.14,20185.3775
1782072000000,1734.14,1735.34,1702,1706.94,34332.5397
1782086400000,1706.94,1759.84,1706.94,1730,48245.9908
1782100800000,1730,1751.58,1727.69,1746.34,31556.4356
1782115200000,1746.34,1774.7,1743.56,1767.68,39953.9512
1782129600000,1767.68,1779.9,1742.41,1744.74,64395.6052
1782144000000,1744.75,1747.7,1729.15,1734.59,49656.142
1782158400000,1734.59,1740.07,1717.02,1728.19,28849.0572
1782172800000,1728.19,1736.25,1719.75,1729.9,18729.6756
1782187200000,1729.91,1731.25,1680.52,1683.01,51916.6503
1782201600000,1683.02,1684.8,1635.65,1660.9,71256.16
1782216000000,1660.9,1672,1645.52,1659.78,48840.9545
1782230400000,1659.78,1673.89,1650,1662.58,38682.1168
1782244800000,1662.57,1672.92,1660.27,1667.13,18836.4548
