time,open,high,low,close,volume
1788312300000,99.94,99.94,99.53,99.53,5471.087
1788312600000,99.54,99.75,99.5,99.54,7720.008
1788312900000,99.54,99.54,99.17,99.18,10730.675
1788313200000,99.18,99.27,98.97,99,11761.33
1788313500000,99.01,99.08,98.68,98.71,16295.782
1788313800000,98.7,98.89,98.52,98.83,15171.456
1788314100000,98.83,99.19,98.8,99.09,6533.919
1788314400000,99.09,99.13,98.77,98.84,10342.842
1788314700000,98.84,99.36,98.77,98.93,21870.073
1788315000000,98.94,99.3,98.9,99.06,15437.118
1788315300000,99.07,99.28,99.05,99.2,7289.895
1788315600000,99.2,99.46,99.2,99.45,5463.01
1788315900000,99.45,99.62,99.35,99.61,10726.335
1788316200000,99.62,99.73,99.39,99.72,10356.26
1788316500000,99.71,99.81,99.61,99.76,15947.437
1788316800000,99.76,99.86,99.61,99.85,8260.52
1788317100000,99.85,99.89,99.79,99.82,2417.446
1788317400000,99.83,99.93,99.76,99.88,5521.785
1788317700000,99.87,99.93,99.84,99.93,3613.072
1788318000000,99.93,100.11,99.84,100.1,6414.862
1788318300000,100.09,100.12,99.99,100.02,3122.661
1788318600000,100.03,100.54,100.03,100.54,11980.8
1788318900000,100.54,100.6,100.34,100.4,7884.751
1788319200000,100.4,100.57,100.38,100.39,3783.498
1788319500000,100.39,100.71,100.39,100.61,9769.909
1788319800000,100.61,100.62,100.31,100.32,9501.588
1788320100000,100.32,100.44,100.22,100.44,6261.354
1788320400000,100.44,100.46,100.21,100.3,6497.773
1788320700000,100.29,100.4,100.26,100.37,2138.638
1788321000000,100.36,100.37,100.17,100.23,5766.951
1788321300000,100.23,100.32,100.11,100.29,6560.249
1788321600000,100.3,100.31,100.13,100.2,4274.15
1788321900000,100.2,100.21,99.88,99.89,8761.723
1788322200000,99.89,99.93,99.75,99.93,9160.696
1788322500000,99.92,99.99,99.74,99.99,3735.385
1788322800000,99.99,100.07,99.89,99.96,6155.256
1788323100000,99.97,99.98,99.85,99.94,2659.551
1788323400000,99.95,100.12,99.93,100.12,2619.443
1788323700000,100.11,100.11,100,100.09,1306.256
1788324000000,100.1,100.13,100.02,100.09,3717.565
1788324300000,100.09,100.15,100.06,100.11,3400.181
1788324600000,100.12,100.13,100.05,100.05,1632.204
1788324900000,100.05,100.15,100.02,100.1,3178.587
1788325200000,100.1,100.12,99.85,99.86,6665.741
1788325500000,99.86,99.9,99.77,99.88,3264.008
1788325800000,99.88,100.11,99.87,100.09,4253.555
1788326100000,100.09,100.4,100.09,100.21,8653.643
1788326400000,100.21,100.28,100.13,100.28,4369.796
1788326700000,100.28,100.35,100.21,100.32,3036.326
1788327000000,100.31,100.33,100.18,100.18,2070.373
1788327300000,100.18,100.26,100.14,100.19,2064.067
1788327600000,100.19,100.29,100.18,100.24,1404.507
1788327900000,100.23,100.39,100.23,100.39,2004.596
1788328200000,100.39,100.39,100.28,100.3,2750.213
1788328500000,100.29,100.32,100.18,100.27,5526.724
1788328800000,100.27,100.39,100.18,100.2,3635.609
1788329100000,100.2,100.25,100.07,100.1,4926.889
1788329400000,100.1,100.18,99.95,99.96,5128.924
1788329700000,99.96,100.05,99.85,99.85,2935.058
1788330000000,99.85,99.98,99.84,99.9,5372.835
1788330300000,99.91,100.11,99.84,99.85,5516.627
1788330600000,99.85,99.86,99.68,99.84,7467.132
1788330900000,99.84,99.93,99.77,99.93,2285.762
1788331200000,99.94,100.27,99.94,100.1,6487.817
1788331500000,100.1,100.13,100.02,100.07,3232.641
1788331800000,100.07,100.11,99.95,99.96,2175.249
1788332100000,99.96,100.09,99.89,100.08,1334.644
1788332400000,100.09,100.2,100.07,100.14,1777.971
1788332700000,100.15,100.26,100.14,100.25,9693.813
1788333000000,100.25,100.43,100.24,100.28,5647.789
1788333300000,100.28,100.28,100.07,100.1,2404.457
1788333600000,100.1,100.15,100.02,100.06,1398.059
1788333900000,100.05,100.1,99.99,100.06,2543.346
1788334200000,100.06,100.12,100.01,100.06,1100.679
1788334500000,100.06,100.1,100.01,100.06,2138.983
1788334800000,100.07,100.1,100.01,100.01,3374.599
1788335100000,100.02,100.11,99.97,99.97,6980.626
1788335400000,99.97,100.03,99.92,99.94,5558.361
1788335700000,99.94,100,99.83,99.85,3072.874
1788336000000,99.85,99.9,99.68,99.9,3584.545
1788336300000,99.9,100,99.87,99.93,3456.588
1788336600000,99.93,99.95,99.81,99.89,3153.678
1788336900000,99.89,100.02,99.89,99.9,6178.481
1788337200000,99.89,99.89,99.72,99.75,2566.793
1788337500000,99.74,99.81,99.72,99.72,1237.916
1788337800000,99.72,99.73,99.31,99.39,9349.891
1788338100000,99.39,99.44,99.15,99.17,5778.597
1788338400000,99.17,99.18,98.85,98.92,12159.947
1788338700000,98.92,99.26,98.85,99.02,7510.551
1788339000000,99.03,99.1,98.8,98.93,7489.885
1788339300000,98.93,99.07,98.84,99.01,4293.514
1788339600000,99.01,99.31,99.01,99.26,7228.968
1788339900000,99.25,99.34,99.16,99.26,6579.265
1788340200000,99.25,99.27,99.09,99.13,6177.386
1788340500000,99.12,99.16,98.98,99.08,4002.974
1788340800000,99.09,99.21,98.67,98.95,12003.343
1788341100000,98.95,99.23,98.95,99.23,6111.847
1788341400000,99.23,99.23,98.8,98.96,7395.145
1788341700000,98.97,98.97,98.55,98.62,8056.122
1788342000000,98.63,98.74,98.36,98.41,9384.996
1788342300000,98.41,98.81,98.2,98.71,12690.127
1788342600000,98.72,98.81,98.66,98.66,6412.385
1788342900000,98.66,98.71,98.56,98.64,7865.73
1788343200000,98.63,98.67,98.38,98.43,23429.715
1788343500000,98.42,98.53,98.25,98.43,10957.333
1788343800000,98.43,98.57,98.36,98.55,7011.247
1788344100000,98.54,98.58,98.4,98.54,4712.342
1788344400000,98.54,98.54,98.34,98.34,3862.213
1788344700000,98.35,98.46,98.3,98.31,4699.505
1788345000000,98.31,98.36,97.94,98.22,35071.909
1788345300000,98.22,98.35,97.94,97.96,11941.895
1788345600000,97.96,98.08,97.85,98.07,11338.312
1788345900000,98.06,98.09,97.6,97.68,23540.807
1788346200000,97.69,98.01,97.45,97.93,25696.492
1788346500000,97.93,98.26,97.9,98.23,10721.81
1788346800000,98.22,98.28,97.91,97.96,13406.645
1788347100000,97.96,98.15,97.75,98.05,12559.819
1788347400000,98.05,98.11,97.87,98.11,6602.476
1788347700000,98.11,98.15,97.88,97.89,4331.542
1788348000000,97.89,97.89,97.4,97.54,10985.8
1788348300000,97.54,97.75,97.38,97.74,7556.761
1788348600000,97.74,98,97.63,97.99,7404.055
1788348900000,97.99,98.23,97.93,98.14,6963.107
1788349200000,98.14,98.18,97.94,98,5066.126
1788349500000,98,98.03,97.84,97.84,4548.111
1788349800000,97.85,98,97.78,97.92,5708.596
1788350100000,97.92,98.14,97.92,98.12,5455.98
1788350400000,98.11,98.12,97.95,98,5756.107
1788350700000,98,98.08,97.89,98,5882.436
1788351000000,98,98.21,97.96,98.18,4236.658
1788351300000,98.18,98.29,97.97,98.1,8697.292
